RegionName,Endpoint,OptInStatus
eu-north-1,ec2.eu-north-1.amazonaws.com,opt-in-not-required
ap-south-1,ec2.ap-south-1.amazonaws.com,opt-in-not-required
eu-west-3,ec2.eu-west-3.amazonaws.com,opt-in-not-required
eu-west-2,ec2.eu-west-2.amazonaws.com,opt-in-not-required
eu-west-1,ec2.eu-west-1.amazonaws.com,opt-in-not-required
ap-northeast-2,ec2.ap-northeast-2.amazonaws.com,opt-in-not-required
me-south-1,ec2.me-south-1.amazonaws.com,not-opted-in
ap-northeast-1,ec2.ap-northeast-1.amazonaws.com,opt-in-not-required
sa-east-1,ec2.sa-east-1.amazonaws.com,opt-in-not-required
ca-central-1,ec2.ca-central-1.amazonaws.com,opt-in-not-required
ap-east-1,ec2.ap-east-1.amazonaws.com,not-opted-in
ap-southeast-1,ec2.ap-southeast-1.amazonaws.com,opt-in-not-required
ap-southeast-2,ec2.ap-southeast-2.amazonaws.com,opt-in-not-required
eu-central-1,ec2.eu-central-1.amazonaws.com,opt-in-not-required
us-east-1,ec2.us-east-1.amazonaws.com,opt-in-not-required
us-east-2,ec2.us-east-2.amazonaws.com,opt-in-not-required
us-west-1,ec2.us-west-1.amazonaws.com,opt-in-not-required
us-west-2,ec2.us-west-2.amazonaws.com,opt-in-not-required
